name,category,description,price,expiryDate,quantity,supplier,color,size,country,type,sold
verma1,Beer,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj1,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj2,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj3,5a131b94ca060916d1a07511,blah,12,12-10-2017,12,5a131f7cca060916d1a07514,pink,12,india,test,0
manoj4,5a131b94ca060916d1a07512,blah,12,12-10-2017,12,5a131f7cca060916d1a07515,pink,12,india,test,0
manoj5,5a131b94ca060916d1a07513,blah,12,12-10-2017,12,5a131f7cca060916d1a07516,pink,12,india,test,0
manoj6,5a131b94ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07517,pink,12,india,test,0
man4oj,5a131b94ca060916d1a07515,blah,12,12-10-2017,12,5a131f7cca060916d1a07518,pink,12,india,test,0
mano7j,5a131b94ca060916d1a07516,blah,12,12-10-2017,12,5a131f7cca060916d1a07519,pink,12,india,test,0
man8oj,5a131b94ca060916d1a07517,blah,12,12-10-2017,12,5a131f7cca060916d1a07520,pink,12,india,test,0
man9oj,5a131b94ca060916d1a07518,blah,12,12-10-2017,12,5a131f7cca060916d1a07521,pink,12,india,test,0
man0oj,5a131b94ca060916d1a07519,blah,12,12-10-2017,12,5a131f7cca060916d1a07522,pink,12,india,test,0
man12oj,5a131b94ca060916d1a07520,blah,12,12-10-2017,12,5a131f7cca060916d1a07523,pink,12,india,test,0
man92oj,5a131b94ca060916d1a07521,blah,12,12-10-2017,12,5a131f7cca060916d1a07524,pink,12,india,test,0
man54oj,5a131b94ca060916d1a07522,blah,12,12-10-2017,12,5a131f7cca060916d1a07525,pink,12,india,test,0
man44oj,5a131b94ca060916d1a07523,blah,12,12-10-2017,12,5a131f7cca060916d1a07526,pink,12,india,test,0
