category,subcategory,supplier,name, 75cl ,"5% DISCOUNT = 
Buying Price", size ,style,price, %profit ,perc_alcholas,fermentation,color,aromas,taste,flavors,recommended,features
Biéres Artisanales,Bouteilles,Chez Alan,Humulupucienne, € 6.00 , € 5.70 , 75cl ,Session Pale Ale,6.6,15.7894736842,0.045,Fermentation Haute,Blonde,"Pamplemousse, orange","Pamplemousse, poivre, notes florales","Equilibre entre 
douceur et amertume","Rillettes de thon au paprika, salade fraîche d'été",
Biéres Artisanales,Bouteilles,Chez Alan,Vue sur l’amer, € 6.50 , € 6.18 , 75cl ,IPA,7.15,15.7894736842,0.065,Fermentation Haute,Ambrée,"Herbes fraiches, fruits exotiques","Citron, pamplemousse, mangue, litchi",Amertume prononcée,"Beignets de poisson au curry, gambas grillées au piment",
Biéres Artisanales,Bouteilles,Chez Alan,L’asociale, € 6.50 , € 6.18 , 75cl ,Double IPA,7.15,15.7894736842,0.076,Fermentation Haute,Ambrée,"Houblons, fruits jaunes",Fruits jaunes,Amertume puissante et persistante,N-A,
Biéres Artisanales,Bouteilles,Chez Alan,Anostéké, € 6.50 , € 6.18 , 75cl ,Belgian Pale Ale,7.15,15.7894736842,0.080,n.a,Blonde,résolument houblonnée,une amertume et une longueur en bouche incomparables,n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Lunette   blanche au soriachi, € 6.50 , € 6.18 , 75cl ,blancheur,7.15,15.7894736842,0.046,n.a,Blanche,"On the fresh coconut, and a palate mixing lime, pineapple / coconut and dill.",n.a,n.a,à déguster entre 3°C et 8°C,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Gens de la lune, € 7.00 , € 6.65 , 75cl ,fruitee,7.7,15.7894736842,0.049,Fermentation basse,Blonde,"les houblons aromatiques s’expriment pleinement, sur un corps léger mais présent, avec une forte dominante de fruits exotiques apportée par l’emploi du houblon Mozaïc",n.a,n.a,A déguster fraiche entre 4° et 8°C,
Biéres Artisanales,Bouteilles,Chez Alan,Aubeloun, € 6.50 , € 6.18 , 75cl ,IPA,7.15,15.7894736842,0.060,n.a,Blonde cuivrée,"de mangue, des arômes de pamplemousse ou de sève de pin notamment",n.a,n.a,A déguster entre 8°C et 10°C,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Conteuse de lune, € 6.00 , € 5.70 , 75cl ,N.a,6.6,15.7894736842,0.029, N.a ,Ambrée,"Agrumes, fruits d’été ","Fraîche, légère, fruitée, qui appelle l’été",n.a,"Bruschetta tapenade, cervelle des canuts, pizza blanche",n.a
Biéres Artisanales,Bouteilles,Chez Alan,Une nuance de vert, € 7.00 , € 6.65 , 75cl ,Session IPA,7.7,,0.045,Fermentation Haute,Blonde,"malté, fruité (un peu pomme et exotique), un peu sucré","sur le fruité (avec note melon), malté blé, assez sec avec forte amertume houblonnée, un peu florael.",n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Reve d’étoiles, € 8.00 , € 7.60 , 75cl ,Black IPA,8.8,15.7894736842,0.070,Fermentation Haute,Noire,"Crème, herbes, résine, pain grillé, notes d'agrumes, ananas rôti","Café au lait, chocolat liégeois, amertume torréfiée et citronnée, moka","Gambas au gingembre, joues de b?uf braisées, bleu d'Auvergne, Epeautre",N.A,Médaille de Bronze Paris 2015
Biéres Artisanales,Bouteilles,Chez Alan,De profondis, € 13.00 , € 12.35 , 75cl ,sour barrel aged,14.3,15.7894736842,0.050,Fermentation Haute,Ambrée,elle offre un nez porté sur des fruits jaunes bien mûrs,"Légère en bouche, la base maltée vient équilibrer une légère acidité.",n.a,n.a,
